, allowedP, trueP, n, [sentinel], time
18,4,4,19,4.44305,0.00195609
18,4,4,22,3.74936,0.000126586
18,4,4,26,6.00059,0.000143264
18,4,4,32,5.12512,0.00019501
18,4,4,38,12.0709,0.000248467
18,4,4,45,6.4673,0.00031176
18,4,4,53,10.349,0.000390448
18,4,4,64,8.48267,0.00049394
18,4,4,76,0.770689,0.000662436
18,4,4,90,8.68704,0.000828366
18,4,4,107,6.6972,0.00109522
18,4,4,128,6.99139,0.00142836
18,4,4,152,15.2411,0.00212459
18,4,4,181,4.25256,0.0025856
18,4,4,215,6.5401,0.00345245
18,4,4,256,7.77228,0.00465501
18,4,4,304,7.41879,0.00671716
18,4,4,362,17.4657,0.00875408
18,4,4,430,18.7009,0.0129652
18,4,4,512,6.38456,0.0163364
18,4,4,608,21.7851,0.0237096
18,4,4,724,8.56682,0.0312525
18,4,4,861,10.009,0.0422454
18,4,4,1024,15.0743,0.058184
18,4,4,1217,30.1267,0.0863801
18,4,4,1448,32.4621,0.117386
18,4,4,1722,26.774,0.16331
18,4,4,2048,50.2559,0.223193
18,4,4,2435,37.1636,0.382927
18,4,4,2896,19.2577,0.456858
18,4,4,3444,28.0925,0.627692
18,4,4,4096,41.5433,0.862383
18,4,4,4870,100.905,1.30964
19,4,4,16,5.08428,5.05E-05
19,4,4,19,4.44305,5.26E-05
19,4,4,22,3.74936,0.00137277
19,4,4,26,6.00059,0.000156094
19,4,4,32,5.12512,0.000199714
19,4,4,38,12.0709,0.000265145
19,4,4,45,6.4673,0.000307483
19,4,4,53,10.349,0.000396008
19,4,4,64,8.48267,0.000488809
19,4,4,76,0.770689,0.000665857
19,4,4,90,8.68704,0.000866427
19,4,4,107,6.6972,0.00106999
19,4,4,128,6.99139,0.00144932
19,4,4,152,15.2411,0.00190135
19,4,4,181,4.25256,0.00261126
19,4,4,215,6.5401,0.00360812
19,4,4,256,7.77228,0.00466998
19,4,4,304,7.41879,0.00620483
19,4,4,362,17.4657,0.00886527
19,4,4,430,18.7009,0.0121629
19,4,4,512,6.38456,0.0181894
19,4,4,608,21.7851,0.0218779
19,4,4,724,8.56682,0.031743
19,4,4,861,10.009,0.04507
19,4,4,1024,15.0743,0.0598061
19,4,4,1217,30.1267,0.0815733
19,4,4,1448,32.4621,0.11724
19,4,4,1722,26.774,0.167045
19,4,4,2048,50.2559,0.221656
19,4,4,2435,37.1636,0.355171
19,4,4,2896,19.2577,0.456163
19,4,4,3444,28.0925,0.770109
19,4,4,4096,41.5433,0.89898
19,4,4,4870,100.905,1.19785
2,4,4,16,5.08428,0.0024325
2,4,4,19,4.44305,0.000199287
2,4,4,22,3.74936,0.000174483
2,4,4,26,6.00059,0.000225801
2,4,4,32,5.12512,0.00029893
2,4,4,38,12.0709,0.000390876
2,4,4,45,6.4673,0.000473413
2,4,4,53,10.349,0.000641481
2,4,4,64,8.48267,0.000795864
